PERMNO,date,COMNAM,PERMCO,RET
59555,20040130,HONDA MOTOR LTD,2172,-0.051556
59555,20040227,HONDA MOTOR LTD,2172,0.022024
59555,20040331,HONDA MOTOR LTD,2172,0.065841
59555,20040430,HONDA MOTOR LTD,2172,-0.129213
59555,20040528,HONDA MOTOR LTD,2172,0.071960
59555,20040630,HONDA MOTOR LTD,2172,0.125926
59555,20040730,HONDA MOTOR LTD,2172,-0.002056
59555,20040831,HONDA MOTOR LTD,2172,0.029254
59555,20040930,HONDA MOTOR LTD,2172,-0.019400
59555,20041029,HONDA MOTOR LTD,2172,-0.002874
59555,20041130,HONDA MOTOR LTD,2172,-0.013998
59555,20041231,HONDA MOTOR LTD,2172,0.088100
59555,20050131,HONDA MOTOR LTD,2172,0.007291
59555,20050228,HONDA MOTOR LTD,2172,0.022857
59555,20050331,HONDA MOTOR LTD,2172,-0.061111
59555,20050429,HONDA MOTOR LTD,2172,-0.037540
59555,20050531,HONDA MOTOR LTD,2172,0.025726
59555,20050630,HONDA MOTOR LTD,2172,-0.004450
59555,20050729,HONDA MOTOR LTD,2172,0.047135
59555,20050831,HONDA MOTOR LTD,2172,0.044626
59555,20050930,HONDA MOTOR LTD,2172,0.061174
59555,20051031,HONDA MOTOR LTD,2172,-0.020775
59555,20051130,HONDA MOTOR LTD,2172,0.005394
59555,20051230,HONDA MOTOR LTD,2172,0.036123
59555,20060131,HONDA MOTOR LTD,2172,-0.017950
59555,20060228,HONDA MOTOR LTD,2172,0.032689
59555,20060331,HONDA MOTOR LTD,2172,0.062543
59555,20060428,HONDA MOTOR LTD,2172,0.144380
59555,20060531,HONDA MOTOR LTD,2172,-0.067739
59555,20060630,HONDA MOTOR LTD,2172,-0.036633
59555,20060731,HONDA MOTOR LTD,2172,0.035512
59555,20060831,HONDA MOTOR LTD,2172,0.028225
59555,20060929,HONDA MOTOR LTD,2172,0.000231
59555,20061031,HONDA MOTOR LTD,2172,0.050550
59555,20061130,HONDA MOTOR LTD,2172,-0.001132
59555,20061229,HONDA MOTOR LTD,2172,0.124394
59555,20070131,HONDA MOTOR LTD,2172,-0.005311
59555,20070228,HONDA MOTOR LTD,2172,-0.055428
59555,20070330,HONDA MOTOR LTD,2172,-0.057029
59555,20070430,HONDA MOTOR LTD,2172,-0.012618
59555,20070531,HONDA MOTOR LTD,2172,0.026140
59555,20070629,HONDA MOTOR LTD,2172,0.032024
59555,20070731,HONDA MOTOR LTD,2172,-0.007440
59555,20070831,HONDA MOTOR LTD,2172,-0.086063
59555,20070928,HONDA MOTOR LTD,2172,0.019515
59555,20071031,HONDA MOTOR LTD,2172,0.122002
59555,20071130,HONDA MOTOR LTD,2172,-0.080684
59555,20071231,HONDA MOTOR LTD,2172,-0.030992
59555,20080131,HONDA MOTOR LTD,2172,-0.048280
59555,20080229,HONDA MOTOR LTD,2172,-0.029803
59555,20080331,HONDA MOTOR LTD,2172,-0.051858
59555,20080430,HONDA MOTOR LTD,2172,0.102048
59555,20080530,HONDA MOTOR LTD,2172,0.046614
59555,20080630,HONDA MOTOR LTD,2172,0.024075
59555,20080731,HONDA MOTOR LTD,2172,-0.059947
59555,20080829,HONDA MOTOR LTD,2172,0.017818
59555,20080930,HONDA MOTOR LTD,2172,-0.068177
59555,20081031,HONDA MOTOR LTD,2172,-0.177350
59555,20081128,HONDA MOTOR LTD,2172,-0.108599
59555,20081231,HONDA MOTOR LTD,2172,-0.027890
59555,20090130,HONDA MOTOR LTD,2172,0.061856
59555,20090227,HONDA MOTOR LTD,2172,0.042807
59555,20090331,HONDA MOTOR LTD,2172,0.006502
59555,20090430,HONDA MOTOR LTD,2172,0.226160
59555,20090529,HONDA MOTOR LTD,2172,-0.001032
59555,20090630,HONDA MOTOR LTD,2172,-0.028132
59555,20090731,HONDA MOTOR LTD,2172,0.173913
59555,20090831,HONDA MOTOR LTD,2172,-0.024899
59555,20090930,HONDA MOTOR LTD,2172,-0.029645
59555,20091030,HONDA MOTOR LTD,2172,0.021775
59555,20091130,HONDA MOTOR LTD,2172,0.000646
59555,20091231,HONDA MOTOR LTD,2172,0.097518
59555,20100129,HONDA MOTOR LTD,2172,0.000295
59555,20100226,HONDA MOTOR LTD,2172,0.020643
59555,20100331,HONDA MOTOR LTD,2172,0.023517
59555,20100430,HONDA MOTOR LTD,2172,-0.042505
59555,20100528,HONDA MOTOR LTD,2172,-0.100622
59555,20100630,HONDA MOTOR LTD,2172,-0.049301
59555,20100730,HONDA MOTOR LTD,2172,0.105043
59555,20100831,HONDA MOTOR LTD,2172,0.036512
59555,20100930,HONDA MOTOR LTD,2172,0.085108
59555,20101029,HONDA MOTOR LTD,2172,0.012363
59555,20101130,HONDA MOTOR LTD,2172,0.005551
59555,20101231,HONDA MOTOR LTD,2172,0.095317
59555,20110131,HONDA MOTOR LTD,2172,0.102279
59555,20110228,HONDA MOTOR LTD,2172,0.003445
59555,20110331,HONDA MOTOR LTD,2172,-0.137182
59555,20110429,HONDA MOTOR LTD,2172,0.022394
59555,20110531,HONDA MOTOR LTD,2172,-0.009126
59555,20110630,HONDA MOTOR LTD,2172,0.021180
59555,20110729,HONDA MOTOR LTD,2172,0.030303
59555,20110831,HONDA MOTOR LTD,2172,-0.183761
59555,20110930,HONDA MOTOR LTD,2172,-0.096299
59555,20111031,HONDA MOTOR LTD,2172,0.025729
59555,20111130,HONDA MOTOR LTD,2172,0.058528
59555,20111230,HONDA MOTOR LTD,2172,-0.028894
59555,20120131,HONDA MOTOR LTD,2172,0.114566
59555,20120229,HONDA MOTOR LTD,2172,0.119530
59555,20120330,HONDA MOTOR LTD,2172,0.013020
59555,20120430,HONDA MOTOR LTD,2172,-0.062191
59555,20120531,HONDA MOTOR LTD,2172,-0.117925
59555,20120629,HONDA MOTOR LTD,2172,0.097879
59555,20120731,HONDA MOTOR LTD,2172,-0.091171
59555,20120831,HONDA MOTOR LTD,2172,0.012381
59555,20120928,HONDA MOTOR LTD,2172,-0.023803
59555,20121031,HONDA MOTOR LTD,2172,-0.023948
59555,20121130,HONDA MOTOR LTD,2172,0.104111
59555,20121231,HONDA MOTOR LTD,2172,0.115498
76655,20040130,TOYOTA MOTOR CORP,4521,-0.034182
76655,20040227,TOYOTA MOTOR CORP,4521,0.041114
76655,20040331,TOYOTA MOTOR CORP,4521,0.084354
76655,20040430,TOYOTA MOTOR CORP,4521,-0.017315
76655,20040528,TOYOTA MOTOR CORP,4521,-0.011747
76655,20040630,TOYOTA MOTOR CORP,4521,0.128127
76655,20040730,TOYOTA MOTOR CORP,4521,-0.019848
76655,20040831,TOYOTA MOTOR CORP,4521,-0.010125
76655,20040930,TOYOTA MOTOR CORP,4521,-0.029371
76655,20041029,TOYOTA MOTOR CORP,4521,0.015842
76655,20041130,TOYOTA MOTOR CORP,4521,-0.037118
76655,20041231,TOYOTA MOTOR CORP,4521,0.095837
76655,20050131,TOYOTA MOTOR CORP,4521,-0.044949
76655,20050228,TOYOTA MOTOR CORP,4521,-0.005244
76655,20050331,TOYOTA MOTOR CORP,4521,-0.034316
76655,20050429,TOYOTA MOTOR CORP,4521,-0.022452
76655,20050531,TOYOTA MOTOR CORP,4521,-0.013753
76655,20050630,TOYOTA MOTOR CORP,4521,-0.003068
76655,20050729,TOYOTA MOTOR CORP,4521,0.061127
76655,20050831,TOYOTA MOTOR CORP,4521,0.080675
76655,20050930,TOYOTA MOTOR CORP,4521,0.133860
76655,20051031,TOYOTA MOTOR CORP,4521,0.004763
76655,20051130,TOYOTA MOTOR CORP,4521,0.042452
76655,20051230,TOYOTA MOTOR CORP,4521,0.081344
76655,20060131,TOYOTA MOTOR CORP,4521,-0.008698
76655,20060228,TOYOTA MOTOR CORP,4521,0.030470
76655,20060331,TOYOTA MOTOR CORP,4521,0.027817
76655,20060428,TOYOTA MOTOR CORP,4521,0.075574
76655,20060531,TOYOTA MOTOR CORP,4521,-0.083241
76655,20060630,TOYOTA MOTOR CORP,4521,-0.025983
76655,20060731,TOYOTA MOTOR CORP,4521,0.006024
76655,20060831,TOYOTA MOTOR CORP,4521,0.029652
76655,20060929,TOYOTA MOTOR CORP,4521,0.013105
76655,20061031,TOYOTA MOTOR CORP,4521,0.083563
76655,20061130,TOYOTA MOTOR CORP,4521,0.017373
76655,20061229,TOYOTA MOTOR CORP,4521,0.118784
76655,20070131,TOYOTA MOTOR CORP,4521,-0.018837
76655,20070228,TOYOTA MOTOR CORP,4521,0.013811
76655,20070330,TOYOTA MOTOR CORP,4521,-0.032252
76655,20070430,TOYOTA MOTOR CORP,4521,-0.052591
76655,20070531,TOYOTA MOTOR CORP,4521,-0.005436
76655,20070629,TOYOTA MOTOR CORP,4521,0.042398
76655,20070731,TOYOTA MOTOR CORP,4521,-0.041706
76655,20070831,TOYOTA MOTOR CORP,4521,-0.041035
76655,20070928,TOYOTA MOTOR CORP,4521,0.020544
76655,20071031,TOYOTA MOTOR CORP,4521,-0.020709
76655,20071130,TOYOTA MOTOR CORP,4521,-0.017389
76655,20071231,TOYOTA MOTOR CORP,4521,-0.055847
76655,20080131,TOYOTA MOTOR CORP,4521,0.020251
76655,20080229,TOYOTA MOTOR CORP,4521,0.002123
76655,20080331,TOYOTA MOTOR CORP,4521,-0.057810
76655,20080430,TOYOTA MOTOR CORP,4521,0.006046
76655,20080530,TOYOTA MOTOR CORP,4521,0.005419
76655,20080630,TOYOTA MOTOR CORP,4521,-0.078883
76655,20080731,TOYOTA MOTOR CORP,4521,-0.084574
76655,20080829,TOYOTA MOTOR CORP,4521,0.041139
76655,20080930,TOYOTA MOTOR CORP,4521,-0.027178
76655,20081031,TOYOTA MOTOR CORP,4521,-0.113170
76655,20081128,TOYOTA MOTOR CORP,4521,-0.170719
76655,20081231,TOYOTA MOTOR CORP,4521,0.037084
76655,20090130,TOYOTA MOTOR CORP,4521,-0.029493
76655,20090227,TOYOTA MOTOR CORP,4521,-0.005826
76655,20090331,TOYOTA MOTOR CORP,4521,0.014025
76655,20090430,TOYOTA MOTOR CORP,4521,0.250553
76655,20090529,TOYOTA MOTOR CORP,4521,0.012506
76655,20090630,TOYOTA MOTOR CORP,4521,-0.057642
76655,20090731,TOYOTA MOTOR CORP,4521,0.114524
76655,20090831,TOYOTA MOTOR CORP,4521,0.011998
76655,20090930,TOYOTA MOTOR CORP,4521,-0.072327
76655,20091030,TOYOTA MOTOR CORP,4521,0.004073
76655,20091130,TOYOTA MOTOR CORP,4521,-0.004437
76655,20091231,TOYOTA MOTOR CORP,4521,0.071556
76655,20100129,TOYOTA MOTOR CORP,4521,-0.085076
76655,20100226,TOYOTA MOTOR CORP,4521,-0.028182
76655,20100331,TOYOTA MOTOR CORP,4521,0.082152
76655,20100430,TOYOTA MOTOR CORP,4521,-0.041408
76655,20100528,TOYOTA MOTOR CORP,4521,-0.061616
76655,20100630,TOYOTA MOTOR CORP,4521,-0.052115
76655,20100730,TOYOTA MOTOR CORP,4521,0.024209
76655,20100831,TOYOTA MOTOR CORP,4521,-0.034031
76655,20100930,TOYOTA MOTOR CORP,4521,0.062118
76655,20101029,TOYOTA MOTOR CORP,4521,-0.010618
76655,20101130,TOYOTA MOTOR CORP,4521,0.097007
76655,20101231,TOYOTA MOTOR CORP,4521,0.012099
76655,20110131,TOYOTA MOTOR CORP,4521,0.045148
76655,20110228,TOYOTA MOTOR CORP,4521,0.135313
76655,20110331,TOYOTA MOTOR CORP,4521,-0.131865
76655,20110429,TOYOTA MOTOR CORP,4521,-0.007103
76655,20110531,TOYOTA MOTOR CORP,4521,0.045306
76655,20110630,TOYOTA MOTOR CORP,4521,-0.010445
76655,20110729,TOYOTA MOTOR CORP,4521,-0.006066
76655,20110831,TOYOTA MOTOR CORP,4521,-0.123047
76655,20110930,TOYOTA MOTOR CORP,4521,-0.042706
76655,20111031,TOYOTA MOTOR CORP,4521,-0.022707
76655,20111130,TOYOTA MOTOR CORP,4521,-0.011992
76655,20111230,TOYOTA MOTOR CORP,4521,0.003338
76655,20120131,TOYOTA MOTOR CORP,4521,0.111145
76655,20120229,TOYOTA MOTOR CORP,4521,0.125612
76655,20120330,TOYOTA MOTOR CORP,4521,0.058773
76655,20120430,TOYOTA MOTOR CORP,4521,-0.058051
76655,20120531,TOYOTA MOTOR CORP,4521,-0.059795
76655,20120629,TOYOTA MOTOR CORP,4521,0.046690
76655,20120731,TOYOTA MOTOR CORP,4521,-0.049329
76655,20120831,TOYOTA MOTOR CORP,4521,0.040648
76655,20120928,TOYOTA MOTOR CORP,4521,-0.004778
76655,20121031,TOYOTA MOTOR CORP,4521,-0.013247
76655,20121130,TOYOTA MOTOR CORP,4521,0.111140
76655,20121231,TOYOTA MOTOR CORP,4521,0.083295
25785,20040130,FORD MOTOR CO DEL,20750,-0.085000
25785,20040227,FORD MOTOR CO DEL,20750,-0.054333
25785,20040331,FORD MOTOR CO DEL,20750,-0.013091
25785,20040430,FORD MOTOR CO DEL,20750,0.139278
25785,20040528,FORD MOTOR CO DEL,20750,-0.033203
25785,20040630,FORD MOTOR CO DEL,20750,0.053872
25785,20040730,FORD MOTOR CO DEL,20750,-0.053035
25785,20040831,FORD MOTOR CO DEL,20750,-0.041440
25785,20040930,FORD MOTOR CO DEL,20750,-0.004252
25785,20041029,FORD MOTOR CO DEL,20750,-0.065480
25785,20041130,FORD MOTOR CO DEL,20750,0.088258
25785,20041231,FORD MOTOR CO DEL,20750,0.032440
25785,20050131,FORD MOTOR CO DEL,20750,-0.093579
25785,20050228,FORD MOTOR CO DEL,20750,-0.039484
25785,20050331,FORD MOTOR CO DEL,20750,-0.104348
25785,20050429,FORD MOTOR CO DEL,20750,-0.187114
25785,20050531,FORD MOTOR CO DEL,20750,0.095499
25785,20050630,FORD MOTOR CO DEL,20750,0.026052
25785,20050729,FORD MOTOR CO DEL,20750,0.058594
25785,20050831,FORD MOTOR CO DEL,20750,-0.071695
25785,20050930,FORD MOTOR CO DEL,20750,-0.011033
25785,20051031,FORD MOTOR CO DEL,20750,-0.146045
25785,20051130,FORD MOTOR CO DEL,20750,-0.022836
25785,20051230,FORD MOTOR CO DEL,20750,-0.050431
25785,20060131,FORD MOTOR CO DEL,20750,0.124352
25785,20060228,FORD MOTOR CO DEL,20750,-0.071096
25785,20060331,FORD MOTOR CO DEL,20750,-0.001255
25785,20060428,FORD MOTOR CO DEL,20750,-0.114322
25785,20060531,FORD MOTOR CO DEL,20750,0.030216
25785,20060630,FORD MOTOR CO DEL,20750,-0.032123
25785,20060731,FORD MOTOR CO DEL,20750,-0.030303
25785,20060831,FORD MOTOR CO DEL,20750,0.254873
25785,20060929,FORD MOTOR CO DEL,20750,-0.033453
25785,20061031,FORD MOTOR CO DEL,20750,0.023486
25785,20061130,FORD MOTOR CO DEL,20750,-0.018116
25785,20061229,FORD MOTOR CO DEL,20750,-0.076261
25785,20070131,FORD MOTOR CO DEL,20750,0.082557
25785,20070228,FORD MOTOR CO DEL,20750,-0.027060
25785,20070330,FORD MOTOR CO DEL,20750,-0.002528
25785,20070430,FORD MOTOR CO DEL,20750,0.019011
25785,20070531,FORD MOTOR CO DEL,20750,0.037313
25785,20070629,FORD MOTOR CO DEL,20750,0.129496
25785,20070731,FORD MOTOR CO DEL,20750,-0.096603
25785,20070831,FORD MOTOR CO DEL,20750,-0.082256
25785,20070928,FORD MOTOR CO DEL,20750,0.087068
25785,20071031,FORD MOTOR CO DEL,20750,0.044759
25785,20071130,FORD MOTOR CO DEL,20750,-0.153326
25785,20071231,FORD MOTOR CO DEL,20750,-0.103862
25785,20080131,FORD MOTOR CO DEL,20750,-0.013373
25785,20080229,FORD MOTOR CO DEL,20750,-0.016566
25785,20080331,FORD MOTOR CO DEL,20750,-0.124043
25785,20080430,FORD MOTOR CO DEL,20750,0.444056
25785,20080530,FORD MOTOR CO DEL,20750,-0.176755
25785,20080630,FORD MOTOR CO DEL,20750,-0.292647
25785,20080731,FORD MOTOR CO DEL,20750,-0.002079
25785,20080829,FORD MOTOR CO DEL,20750,-0.070833
25785,20080930,FORD MOTOR CO DEL,20750,0.165919
25785,20081031,FORD MOTOR CO DEL,20750,-0.578846
25785,20081128,FORD MOTOR CO DEL,20750,0.228310
25785,20081231,FORD MOTOR CO DEL,20750,-0.148699
25785,20090130,FORD MOTOR CO DEL,20750,-0.183406
25785,20090227,FORD MOTOR CO DEL,20750,0.069519
25785,20090331,FORD MOTOR CO DEL,20750,0.315000
25785,20090430,FORD MOTOR CO DEL,20750,1.273764
25785,20090529,FORD MOTOR CO DEL,20750,-0.038462
25785,20090630,FORD MOTOR CO DEL,20750,0.055652
25785,20090731,FORD MOTOR CO DEL,20750,0.317957
25785,20090831,FORD MOTOR CO DEL,20750,-0.050000
25785,20090930,FORD MOTOR CO DEL,20750,-0.051316
25785,20091030,FORD MOTOR CO DEL,20750,-0.029126
25785,20091130,FORD MOTOR CO DEL,20750,0.270000
25785,20091231,FORD MOTOR CO DEL,20750,0.124859
25785,20100129,FORD MOTOR CO DEL,20750,0.084000
25785,20100226,FORD MOTOR CO DEL,20750,0.083026
25785,20100331,FORD MOTOR CO DEL,20750,0.070698
25785,20100430,FORD MOTOR CO DEL,20750,0.035800
25785,20100528,FORD MOTOR CO DEL,20750,-0.099078
25785,20100630,FORD MOTOR CO DEL,20750,-0.140665
25785,20100730,FORD MOTOR CO DEL,20750,0.266865
25785,20100831,FORD MOTOR CO DEL,20750,-0.116288
25785,20100930,FORD MOTOR CO DEL,20750,0.084626
25785,20101029,FORD MOTOR CO DEL,20750,0.154412
25785,20101130,FORD MOTOR CO DEL,20750,0.128096
25785,20101231,FORD MOTOR CO DEL,20750,0.053325
25785,20110131,FORD MOTOR CO DEL,20750,-0.050030
25785,20110228,FORD MOTOR CO DEL,20750,-0.056426
25785,20110331,FORD MOTOR CO DEL,20750,-0.009302
25785,20110429,FORD MOTOR CO DEL,20750,0.037559
25785,20110531,FORD MOTOR CO DEL,20750,-0.035553
25785,20110630,FORD MOTOR CO DEL,20750,-0.075737
25785,20110729,FORD MOTOR CO DEL,20750,-0.114576
25785,20110831,FORD MOTOR CO DEL,20750,-0.089271
25785,20110930,FORD MOTOR CO DEL,20750,-0.130396
25785,20111031,FORD MOTOR CO DEL,20750,0.207859
25785,20111130,FORD MOTOR CO DEL,20750,-0.092466
25785,20111230,FORD MOTOR CO DEL,20750,0.015094
25785,20120131,FORD MOTOR CO DEL,20750,0.158922
25785,20120229,FORD MOTOR CO DEL,20750,-0.003221
25785,20120330,FORD MOTOR CO DEL,20750,0.007674
25785,20120430,FORD MOTOR CO DEL,20750,-0.091784
25785,20120531,FORD MOTOR CO DEL,20750,-0.063830
25785,20120629,FORD MOTOR CO DEL,20750,-0.091856
25785,20120731,FORD MOTOR CO DEL,20750,-0.036496
25785,20120831,FORD MOTOR CO DEL,20750,0.016234
25785,20120928,FORD MOTOR CO DEL,20750,0.055674
25785,20121031,FORD MOTOR CO DEL,20750,0.136917
25785,20121130,FORD MOTOR CO DEL,20750,0.025986
25785,20121231,FORD MOTOR CO DEL,20750,0.131004
12079,20040130,GENERAL MOTORS CORP,20799,-0.069663
12079,20040227,GENERAL MOTORS CORP,20799,-0.021337
12079,20040331,GENERAL MOTORS CORP,20799,-0.021197
12079,20040430,GENERAL MOTORS CORP,20799,0.006794
12079,20040528,GENERAL MOTORS CORP,20799,-0.032265
12079,20040630,GENERAL MOTORS CORP,20799,0.026438
12079,20040730,GENERAL MOTORS CORP,20799,-0.074050
12079,20040831,GENERAL MOTORS CORP,20799,-0.030830
12079,20040930,GENERAL MOTORS CORP,20799,0.028322
12079,20041029,GENERAL MOTORS CORP,20799,-0.092514
12079,20041130,GENERAL MOTORS CORP,20799,0.014008
12079,20041231,GENERAL MOTORS CORP,20799,0.038093
12079,20050131,GENERAL MOTORS CORP,20799,-0.081128
12079,20050228,GENERAL MOTORS CORP,20799,-0.017930
12079,20050331,GENERAL MOTORS CORP,20799,-0.175596
12079,20050429,GENERAL MOTORS CORP,20799,-0.092208
12079,20050531,GENERAL MOTORS CORP,20799,0.200525
12079,20050630,GENERAL MOTORS CORP,20799,0.078338
12079,20050729,GENERAL MOTORS CORP,20799,0.082941
12079,20050831,GENERAL MOTORS CORP,20799,-0.057849
12079,20050930,GENERAL MOTORS CORP,20799,-0.104709
12079,20051031,GENERAL MOTORS CORP,20799,-0.104868
12079,20051130,GENERAL MOTORS CORP,20799,-0.182482
12079,20051230,GENERAL MOTORS CORP,20799,-0.113242
12079,20060131,GENERAL MOTORS CORP,20799,0.238929
12079,20060228,GENERAL MOTORS CORP,20799,-0.145470
12079,20060331,GENERAL MOTORS CORP,20799,0.047267
12079,20060428,GENERAL MOTORS CORP,20799,0.075693
12079,20060531,GENERAL MOTORS CORP,20799,0.187937
12079,20060630,GENERAL MOTORS CORP,20799,0.106201
12079,20060731,GENERAL MOTORS CORP,20799,0.081907
12079,20060831,GENERAL MOTORS CORP,20799,-0.086876
12079,20060929,GENERAL MOTORS CORP,20799,0.139822
12079,20061031,GENERAL MOTORS CORP,20799,0.049910
12079,20061130,GENERAL MOTORS CORP,20799,-0.155785
12079,20061229,GENERAL MOTORS CORP,20799,0.050975
12079,20070131,GENERAL MOTORS CORP,20799,0.069010
12079,20070228,GENERAL MOTORS CORP,20799,-0.021011
12079,20070330,GENERAL MOTORS CORP,20799,-0.039498
12079,20070430,GENERAL MOTORS CORP,20799,0.019256
12079,20070531,GENERAL MOTORS CORP,20799,-0.031700
12079,20070629,GENERAL MOTORS CORP,20799,0.260420
12079,20070731,GENERAL MOTORS CORP,20799,-0.142857
12079,20070831,GENERAL MOTORS CORP,20799,-0.043519
12079,20070928,GENERAL MOTORS CORP,20799,0.193884
12079,20071031,GENERAL MOTORS CORP,20799,0.067847
12079,20071130,GENERAL MOTORS CORP,20799,-0.232457
12079,20071231,GENERAL MOTORS CORP,20799,-0.165605
12079,20080131,GENERAL MOTORS CORP,20799,0.133387
12079,20080229,GENERAL MOTORS CORP,20799,-0.165899
12079,20080331,GENERAL MOTORS CORP,20799,-0.181701
12079,20080430,GENERAL MOTORS CORP,20799,0.217848
12079,20080530,GENERAL MOTORS CORP,20799,-0.252155
12079,20080630,GENERAL MOTORS CORP,20799,-0.327485
12079,20080731,GENERAL MOTORS CORP,20799,-0.037391
12079,20080829,GENERAL MOTORS CORP,20799,-0.096658
12079,20080930,GENERAL MOTORS CORP,20799,-0.055000
12079,20081031,GENERAL MOTORS CORP,20799,-0.387302
12079,20081128,GENERAL MOTORS CORP,20799,-0.094991
12079,20081231,GENERAL MOTORS CORP,20799,-0.389313
12079,20090130,GENERAL MOTORS CORP,20799,-0.059375
12079,20090227,GENERAL MOTORS CORP,20799,-0.252492
12079,20090331,GENERAL MOTORS CORP,20799,-0.137778
12079,20090430,GENERAL MOTORS CORP,20799,-0.010309
12079,20090529,GENERAL MOTORS CORP,20799,-0.609375
12079,20090630,GENERAL MOTORS CORP,20799,
12369,20101029,,53554,
12369,20101130,GENERAL MOTORS CO,53554,C
12369,20101231,GENERAL MOTORS CO,53554,0.077778
12369,20110131,GENERAL MOTORS CO,53554,-0.010038
12369,20110228,GENERAL MOTORS CO,53554,-0.081118
12369,20110331,GENERAL MOTORS CO,53554,-0.074560
12369,20110429,GENERAL MOTORS CO,53554,0.034160
12369,20110531,GENERAL MOTORS CO,53554,-0.008725
12369,20110630,GENERAL MOTORS CO,53554,-0.045583
12369,20110729,GENERAL MOTORS CO,53554,-0.088274
12369,20110831,GENERAL MOTORS CO,53554,-0.131864
12369,20110930,GENERAL MOTORS CO,53554,-0.160216
12369,20111031,GENERAL MOTORS CO,53554,0.280971
12369,20111130,GENERAL MOTORS CO,53554,-0.176402
12369,20111230,GENERAL MOTORS CO,53554,-0.047910
12369,20120131,GENERAL MOTORS CO,53554,0.185002
12369,20120229,GENERAL MOTORS CO,53554,0.083264
12369,20120330,GENERAL MOTORS CO,53554,-0.014220
12369,20120430,GENERAL MOTORS CO,53554,-0.103314
12369,20120531,GENERAL MOTORS CO,53554,-0.034783
12369,20120629,GENERAL MOTORS CO,53554,-0.111712
12369,20120731,GENERAL MOTORS CO,53554,-0.000507
12369,20120831,GENERAL MOTORS CO,53554,0.083207
12369,20120928,GENERAL MOTORS CO,53554,0.065574
12369,20121031,GENERAL MOTORS CO,53554,0.120879
12369,20121130,GENERAL MOTORS CO,53554,0.014902
12369,20121231,GENERAL MOTORS CO,53554,0.113988
